seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage
privat,Angebot,9290,control,kleinwagen,2010,manuell,86,polo,40000,5,benzin,volkswagen,nein
privat,Angebot,4800,control,kleinwagen,2007,manuell,80,polo,100000,6,benzin,volkswagen,nein
privat,Angebot,6800,control,kleinwagen,2010,manuell,60,polo,60000,8,benzin,volkswagen,nein
privat,Angebot,5999,control,kleinwagen,2008,manuell,80,polo,80000,10,benzin,volkswagen,nein
privat,Angebot,8800,control,kleinwagen,2012,manuell,60,polo,40000,1,benzin,volkswagen,nein
privat,Angebot,1350,control,kleinwagen,1997,manuell,50,polo,80000,1,benzin,volkswagen,nein
privat,Angebot,4999,control,kleinwagen,2006,manuell,64,polo,70000,11,benzin,volkswagen,nein
privat,Angebot,7200,control,kleinwagen,2008,manuell,105,polo,80000,10,benzin,volkswagen,nein
privat,Angebot,7990,control,kleinwagen,2010,manuell,86,polo,50000,10,benzin,volkswagen,nein
privat,Angebot,500,control,kleinwagen,1991,manuell,45,polo,100000,2,benzin,volkswagen,nein
privat,Angebot,3499,control,kleinwagen,1985,manuell,39,polo,40000,7,benzin,volkswagen,nein
privat,Angebot,1300,control,kleinwagen,1996,manuell,60,polo,80000,6,benzin,volkswagen,nein
privat,Angebot,7200,control,kleinwagen,2006,manuell,150,polo,100000,12,benzin,volkswagen,nein
privat,Angebot,13800,control,kleinwagen,2014,manuell,110,polo,20000,8,benzin,volkswagen,nein
privat,Angebot,3200,control,kleinwagen,2003,manuell,64,polo,100000,5,benzin,volkswagen,nein
privat,Angebot,4690,control,kleinwagen,2007,manuell,64,polo,90000,6,benzin,volkswagen,nein
privat,Angebot,235,control,kleinwagen,2013,manuell,69,polo,40000,11,benzin,volkswagen,nein
privat,Angebot,11999,control,kleinwagen,2012,manuell,90,polo,50000,4,benzin,volkswagen,nein
privat,Angebot,12500,control,kleinwagen,2014,manuell,90,polo,20000,9,benzin,volkswagen,nein
privat,Angebot,3000,control,kleinwagen,2002,manuell,64,polo,100000,4,benzin,volkswagen,nein
privat,Angebot,3899,control,kleinwagen,2005,manuell,54,polo,90000,8,benzin,volkswagen,nein
privat,Angebot,13700,control,kleinwagen,2015,manuell,90,polo,20000,3,benzin,volkswagen,nein
privat,Angebot,4300,control,kleinwagen,2004,manuell,64,polo,60000,2,benzin,volkswagen,nein
privat,Angebot,4800,control,kleinwagen,2007,manuell,64,polo,80000,11,benzin,volkswagen,nein
privat,Angebot,2200,control,kleinwagen,2000,manuell,75,polo,70000,6,benzin,volkswagen,nein
privat,Angebot,7090,control,kleinwagen,2010,manuell,60,polo,60000,10,benzin,volkswagen,nein
privat,Angebot,6500,control,kleinwagen,2010,manuell,75,polo,60000,8,benzin,volkswagen,nein
privat,Angebot,2350,control,kleinwagen,2001,manuell,50,polo,70000,3,benzin,volkswagen,nein
privat,Angebot,8580,control,kleinwagen,2009,manuell,90,polo,80000,6,benzin,volkswagen,nein
privat,Angebot,6800,control,kleinwagen,2009,manuell,60,polo,40000,12,benzin,volkswagen,nein
